Ambito;ISO3;Area;Producto;Codigo del year;Year;Unidad;Valor;Simbolo;Descripcion del Simbolo
Cobertura de la tierra;ALB;Albania;Cultivos herbaceos;2020;2020;1000 ha;205.34;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Cultivos herbaceos;2021;2021;1000 ha;197.26;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ALB;Albania;Cultivos madereros;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ALB;Albania;Cultivos multiples o estratificados;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ALB;Albania;Cultivos multiples o estratificados;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ALB;Albania;Pastizales;2020;2020;1000 ha;887.62;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Pastizales;2021;2021;1000 ha;1007.77;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Areas cubiertas por arboles;2020;2020;1000 ha;1283.6;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Areas cubiertas por arboles;2021;2021;1000 ha;1333.81;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Manglares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Manglares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Areas cubiertas por arbustos;2020;2020;1000 ha;216.76;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Areas cubiertas por arbustos;2021;2021;1000 ha;152.7;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2020;2020;1000 ha;18.11;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2021;2021;1000 ha;15.17;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Areas de vegetacion natural dispersa;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ALB;Albania;Areas de vegetacion natural dispersa;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ALB;Albania;Tierras deserticas;2020;2020;1000 ha;139.05;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Tierras deserticas;2021;2021;1000 ha;39.79;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Nieve permanente y glaciares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Nieve permanente y glaciares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Cuerpos de aguas interiores;2020;2020;1000 ha;70.9;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Cuerpos de aguas interiores;2021;2021;1000 ha;69.15;E;Valor estimado
Cobertura de la tierra;ALB;Albania;Cuerpos de agua costera y zonas intermareales;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ALB;Albania;Cuerpos de agua costera y zonas intermareales;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;DEU;Alemania;Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;1610.09;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;1892.78;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Cultivos herbaceos;2020;2020;1000 ha;11061.14;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Cultivos herbaceos;2021;2021;1000 ha;10988.81;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;DEU;Alemania;Cultivos madereros;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;DEU;Alemania;Cultivos multiples o estratificados;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;DEU;Alemania;Cultivos multiples o estratificados;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;DEU;Alemania;Pastizales;2020;2020;1000 ha;7807.88;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Pastizales;2021;2021;1000 ha;7617.39;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Areas cubiertas por arboles;2020;2020;1000 ha;14426.27;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Areas cubiertas por arboles;2021;2021;1000 ha;14588.82;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Manglares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Manglares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Areas cubiertas por arbustos;2020;2020;1000 ha;0.25;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Areas cubiertas por arbustos;2021;2021;1000 ha;0.03;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2020;2020;1000 ha;93.23;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2021;2021;1000 ha;67.39;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Areas de vegetacion natural dispersa;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;DEU;Alemania;Areas de vegetacion natural dispersa;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;DEU;Alemania;Tierras deserticas;2020;2020;1000 ha;215.32;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Tierras deserticas;2021;2021;1000 ha;46.87;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Nieve permanente y glaciares;2020;2020;1000 ha;0.27;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Nieve permanente y glaciares;2021;2021;1000 ha;0.35;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Cuerpos de aguas interiores;2020;2020;1000 ha;508.47;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Cuerpos de aguas interiores;2021;2021;1000 ha;520.49;E;Valor estimado
Cobertura de la tierra;DEU;Alemania;Cuerpos de agua costera y zonas intermareales;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;DEU;Alemania;Cuerpos de agua costera y zonas intermareales;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AND;Andorra;Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;0.68;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;0.78;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Cultivos herbaceos;2020;2020;1000 ha;0.08;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Cultivos herbaceos;2021;2021;1000 ha;0.01;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AND;Andorra;Cultivos madereros;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AND;Andorra;Cultivos multiples o estratificados;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AND;Andorra;Cultivos multiples o estratificados;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AND;Andorra;Pastizales;2020;2020;1000 ha;23.38;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Pastizales;2021;2021;1000 ha;20.05;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Areas cubiertas por arboles;2020;2020;1000 ha;19.98;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Areas cubiertas por arboles;2021;2021;1000 ha;21.78;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Manglares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Manglares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Areas cubiertas por arbustos;2020;2020;1000 ha;0.06;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Areas cubiertas por arbustos;2021;2021;1000 ha;0.08;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Areas de vegetacion natural dispersa;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AND;Andorra;Areas de vegetacion natural dispersa;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AND;Andorra;Tierras deserticas;2020;2020;1000 ha;3.14;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Tierras deserticas;2021;2021;1000 ha;4.62;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Nieve permanente y glaciares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Nieve permanente y glaciares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Cuerpos de aguas interiores;2020;2020;1000 ha;0.14;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Cuerpos de aguas interiores;2021;2021;1000 ha;0.15;E;Valor estimado
Cobertura de la tierra;AND;Andorra;Cuerpos de agua costera y zonas intermareales;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AND;Andorra;Cuerpos de agua costera y zonas intermareales;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AGO;Angola;Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;162.88;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;209.61;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Cultivos herbaceos;2020;2020;1000 ha;3555.7;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Cultivos herbaceos;2021;2021;1000 ha;4097.77;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AGO;Angola;Cultivos madereros;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AGO;Angola;Cultivos multiples o estratificados;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AGO;Angola;Cultivos multiples o estratificados;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AGO;Angola;Pastizales;2020;2020;1000 ha;30879.71;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Pastizales;2021;2021;1000 ha;31732.5;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Areas cubiertas por arboles;2020;2020;1000 ha;43791.91;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Areas cubiertas por arboles;2021;2021;1000 ha;46351.51;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Manglares;2020;2020;1000 ha;22.72;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Manglares;2021;2021;1000 ha;16.6;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Areas cubiertas por arbustos;2020;2020;1000 ha;41764.76;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Areas cubiertas por arbustos;2021;2021;1000 ha;37696.54;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2020;2020;1000 ha;1868.26;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2021;2021;1000 ha;2101.23;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Areas de vegetacion natural dispersa;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AGO;Angola;Areas de vegetacion natural dispersa;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AGO;Angola;Tierras deserticas;2020;2020;1000 ha;2410.14;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Tierras deserticas;2021;2021;1000 ha;2250.88;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Nieve permanente y glaciares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Nieve permanente y glaciares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Cuerpos de aguas interiores;2020;2020;1000 ha;208.4;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Cuerpos de aguas interiores;2021;2021;1000 ha;207.84;E;Valor estimado
Cobertura de la tierra;AGO;Angola;Cuerpos de agua costera y zonas intermareales;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AGO;Angola;Cuerpos de agua costera y zonas intermareales;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AIA;Anguila;Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;0.84;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;1.09;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Cultivos herbaceos;2020;2020;1000 ha;0.04;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Cultivos herbaceos;2021;2021;1000 ha;0.01;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AIA;Anguila;Cultivos madereros;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AIA;Anguila;Cultivos multiples o estratificados;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AIA;Anguila;Cultivos multiples o estratificados;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AIA;Anguila;Pastizales;2020;2020;1000 ha;0.79;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Pastizales;2021;2021;1000 ha;1.08;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Areas cubiertas por arboles;2020;2020;1000 ha;2.92;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Areas cubiertas por arboles;2021;2021;1000 ha;2.45;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Manglares;2020;2020;1000 ha;0.01;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Manglares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Areas cubiertas por arbustos;2020;2020;1000 ha;2.04;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Areas cubiertas por arbustos;2021;2021;1000 ha;2.21;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2020;2020;1000 ha;0.11;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2021;2021;1000 ha;0.03;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Areas de vegetacion natural dispersa;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AIA;Anguila;Areas de vegetacion natural dispersa;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;AIA;Anguila;Tierras deserticas;2020;2020;1000 ha;0.34;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Tierras deserticas;2021;2021;1000 ha;0.13;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Nieve permanente y glaciares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Nieve permanente y glaciares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Cuerpos de aguas interiores;2020;2020;1000 ha;0.69;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Cuerpos de aguas interiores;2021;2021;1000 ha;0.77;E;Valor estimado
Cobertura de la tierra;AIA;Anguila;Cuerpos de agua costera y zonas intermareales;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;AIA;Anguila;Cuerpos de agua costera y zonas intermareales;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ATG;Antigua y Barbuda;Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;2.17;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;3.3;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Cultivos herbaceos;2020;2020;1000 ha;0.59;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Cultivos herbaceos;2021;2021;1000 ha;0.4;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ATG;Antigua y Barbuda;Cultivos madereros;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ATG;Antigua y Barbuda;Cultivos multiples o estratificados;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ATG;Antigua y Barbuda;Cultivos multiples o estratificados;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ATG;Antigua y Barbuda;Pastizales;2020;2020;1000 ha;8.27;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Pastizales;2021;2021;1000 ha;9.35;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Areas cubiertas por arboles;2020;2020;1000 ha;23.11;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Areas cubiertas por arboles;2021;2021;1000 ha;22.96;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Manglares;2020;2020;1000 ha;1.08;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Manglares;2021;2021;1000 ha;0.79;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Areas cubiertas por arbustos;2020;2020;1000 ha;3.37;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Areas cubiertas por arbustos;2021;2021;1000 ha;2;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2020;2020;1000 ha;0.82;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2021;2021;1000 ha;0.6;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Areas de vegetacion natural dispersa;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ATG;Antigua y Barbuda;Areas de vegetacion natural dispersa;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ATG;Antigua y Barbuda;Tierras deserticas;2020;2020;1000 ha;0.81;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Tierras deserticas;2021;2021;1000 ha;0.36;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Nieve permanente y glaciares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Nieve permanente y glaciares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Cuerpos de aguas interiores;2020;2020;1000 ha;5.21;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Cuerpos de aguas interiores;2021;2021;1000 ha;5.67;E;Valor estimado
Cobertura de la tierra;ATG;Antigua y Barbuda;Cuerpos de agua costera y zonas intermareales;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ATG;Antigua y Barbuda;Cuerpos de agua costera y zonas intermareales;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;10.36;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;10.93;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cultivos herbaceos;2020;2020;1000 ha;0.2;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cultivos herbaceos;2021;2021;1000 ha;0.11;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cultivos madereros;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cultivos multiples o estratificados;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cultivos multiples o estratificados;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Pastizales;2020;2020;1000 ha;6.64;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Pastizales;2021;2021;1000 ha;10.44;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Areas cubiertas por arboles;2020;2020;1000 ha;8.59;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Areas cubiertas por arboles;2021;2021;1000 ha;19.49;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Manglares;2020;2020;1000 ha;0.04;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Manglares;2021;2021;1000 ha;0.11;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Areas cubiertas por arbustos;2020;2020;1000 ha;39.01;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Areas cubiertas por arbustos;2021;2021;1000 ha;27.63;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2020;2020;1000 ha;0.29;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Vegetacion arbustiva y/o herbacea, acuatica o periodicamente inundada;2021;2021;1000 ha;0.14;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Areas de vegetacion natural dispersa;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Areas de vegetacion natural dispersa;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Tierras deserticas;2020;2020;1000 ha;7.08;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Tierras deserticas;2021;2021;1000 ha;3.03;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Nieve permanente y glaciares;2020;2020;1000 ha;0;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Nieve permanente y glaciares;2021;2021;1000 ha;0;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cuerpos de aguas interiores;2020;2020;1000 ha;6.56;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cuerpos de aguas interiores;2021;2021;1000 ha;6.88;E;Valor estimado
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cuerpos de agua costera y zonas intermareales;2020;2020;1000 ha;;O;Valor ausente
Cobertura de la tierra;ANT;Antillas Neerlandesas (ex);Cuerpos de agua costera y zonas intermareales;2021;2021;1000 ha;;O;Valor ausente
Cobertura de la tierra;SAU;Arabia Saudita;Superficies artificiales (incluidas las zonas urbanas y conexas);2020;2020;1000 ha;772.3;E;Valor estimado
Cobertura de la tierra;SAU;Arabia Saudita;Superficies artificiales (incluidas las zonas urbanas y conexas);2021;2021;1000 ha;822.88;E;Valor estimado
Cobertura de la tierra;SAU;Arabia Saudita;Cultivos herbaceos;2020;2020;1000 ha;1121.57;E;Valor estimado
Cobertura de la tierra;SAU;Arabia Saudita;Cultivos herbaceos;2021;2021;1000 ha;1415.59;E;Valor estimado
Cobertura de la tierra;SAU;Arabia Saudita;Cultivos madereros;2020;2020;1000 ha;;O;Valor ausente
